Defect ID,Feature ID,Test ID,Reproduction / Scenario,Expected Result,Actual Result,Severity,Root Cause Hypothesis,Proposed Smallest-Safe Fix,Status
D-001,FBK-001,FBK-001-T4,Screen-reader announcement / role=status or aria-live,toast region exposes role=status or aria-live=polite,No role/aria-live in CSS or registry markup; pointer-events:none on region but no live region semantics,High,CSS cannot add ARIA; component ships no semantic guidance,Add role=status aria-live=polite to .toast-region in registry markup/docs,Fixed
D-002,MNU-003,MNU-003-T2,Positioning conflict: absolute CSS vs popover top-layer,Panel appears directly under its trigger,"CSS positions content position:absolute relative to .navigation-menu-item, but showcase marks it popover which promotes to top layer where absolute offset is viewport-relative, breaking under-trigger anchoring",High,"Popover elements render in the top layer; position:absolute resolves against the initial containing block, not the trigger","Choose one model: drop popover and use :focus-within/:has, OR keep popover and use anchor positioning",Fixed
D-003,MSC-003,MSC-003-T2,Keyboard focus shows on handle,focus-visible outline,"Outline declared but handle is a plain <div> with no tabindex/role=separator/aria-valuenow in registry markup, so it is not focusable or announced",High,Handle needs tabindex=0 and role=separator with aria values; CSS focus style is dead without focusability,Document required attributes (tabindex=0 role=separator aria-orientation aria-valuenow),Fixed
D-004,REG-003,REG-003-T2,The project own showcase honors 0 lines of JavaScript,apps/www/index.html uses no JS handlers,"index.html contains 19 onclick, 5 showModal, 5 showPopover, 6 hidePopover inline handlers — JavaScript is required to demo the components",High,Modal/popover/toast components require JS to open or close; the headline 0 lines of JavaScript is contradicted by canonical usage,Requalify headline to almost zero JS / no JS framework and note dialog/popover need one-liner triggers,Fixed
D-005,REG-006,REG-006-T1,Check that npm package shadcss is published,registry.npmjs.org/shadcss returns package metadata,registry.npmjs.org/shadcss returns HTTP 404 — package not published; npm install shadcss would fail,High,Library has never been published to npm; install/CDN instructions are aspirational,"Publish to npm, or mark install instructions coming soon / use a GitHub/jsDelivr URL",Fixed
D-006,REG-006,REG-006-T2,unpkg CDN URL resolvability,unpkg.com/shadcss/dist/shadcss.min.css serves the file,"unpkg resolves from npm; since shadcss is unpublished (404), the CDN URL cannot resolve",High,Same unpublished-package root cause,"Publish package, or replace CDN snippet with jsdelivr GitHub URL",Fixed
D-007,SHO-001,SHO-001-T2,Serve root at apps/www (dev script) and request ../../ path,npx serve may block path traversal above served root,dev script serve . roots at apps/www; ../../ escapes the served root and most static servers 403/404 such traversal,High,Relative href points outside the served directory; serve sandboxes to its root,"Copy/symlink dist into apps/www and reference ./shadcss.min.css, or run the dev server from repo root",Fixed
D-008,SHO-002,SHO-002-T2,serve roots at apps/www but CSS lives two levels up,All assets reachable from server root,"CSS href ../../packages/... escapes serve root, breaking styling under the documented dev command",High,Server root and asset path mismatch,Serve from repo root or vendor the CSS into apps/www,Fixed
D-009,SHO-003,SHO-003-T1,Count inline JS handlers in showcase,Zero if claim holds,"19 onclick, 5 showModal, 5 showPopover, 6 hidePopover, 1 oninput, 1 onerror present",High,Native dialog/popover/theme/slider need JS to trigger; claim ignores showcase glue code,Reword claim to 0 JS in the framework CSS; showcase uses minimal inline triggers,Fixed
D-010,BAS-002,BAS-002-T3,Auto-dark omits status tokens that explicit dark redefines,Auto dark and explicit dark yield identical palette,"Explicit dark redefines --success/--warning/--info but the media-query block does NOT, so under OS-dark the success color stays its light value — inconsistent",Medium,Auto-dark block hand-maintained and drifted from explicit dark,Add --success/--warning/--info and -foreground to the prefers-color-scheme block,Fixed
D-011,BAS-003,BAS-003-T2,Order survives import reordering by a bundler,"An explicit @layer reset, theme, components; priming line guarantees order","No priming statement exists; order depends entirely on first-appearance, so reordering imports inverts precedence",Medium,Layer priority not declared up-front; fragile against tooling that changes source order,"Add @layer reset, theme, components; as the first statement",Fixed
D-012,BLD-002,BLD-002-T4,www dev fetches serve via npx at runtime,No unpinned remote code execution surprises,"dev = npx -y serve . -l 3333. -y auto-installs latest serve unpinned; supply-chain exposure on each run, not added to devDependencies",Medium,Convenience over reproducibility; serve not pinned,Add serve to devDependencies with a pinned version and call via local bin,Fixed
D-013,BLD-003,BLD-003-T1,packageManager=pnpm but only package-lock.json committed,pnpm-lock.yaml present if pnpm is the manager,"package.json declares pnpm@9.0.0; repo root contains package-lock.json, no pnpm-lock.yaml. Corepack pnpm install would ignore package-lock.json and regenerate, drifting deps",Medium,Installed with npm while declaring pnpm; lockfile never migrated,"Pick one: commit pnpm-lock.yaml and delete package-lock.json, or set packageManager to npm version used",Fixed
D-014,BTN-002,BTN-002-T3,Infinite animation runs continuously,animation respects reduced-motion,No prefers-reduced-motion guard on shadcss-spin; animation runs unconditionally,Medium,Missing @media (prefers-reduced-motion: reduce) override,Add @media (prefers-reduced-motion: reduce){ .btn[aria-busy=true]::after{ animation: none } },Fixed
D-015,BTN-004,BTN-004-T2,Toggle changes state with zero JavaScript as framework implies,Clicking toggles pressed state without JS,"CSS only styles [aria-pressed]; nothing flips the attribute, so a standalone .toggle needs JS to function",Medium,aria-pressed is not mutated by CSS; README 0 JS claim is contradicted for interactive toggle,"Document that .toggle requires JS to flip aria-pressed, or recommend .toggle-group",Fixed
D-016,BTN-005,BTN-005-T3,Label nested-inside-input or reordered markup breaks highlight,Graceful selection styling,Highlight depends strictly on adjacent-sibling order; any wrapping label-around-input yields no checked styling,Medium,Adjacent-sibling combinator is order/structure-fragile and undocumented as a hard requirement,Document required input->label sibling order explicitly in registry markup/notes,Fixed
D-017,BTN-006,BTN-006-T2,registry.json validates against cited shadcn schema,Conforms to https://ui.shadcn.com/schema.json,Uses non-conforming shape (components[] with file/deps/markup; shadcn uses items with type/files[].path/registryDependencies),Medium,$schema points at shadcn but the document is a bespoke format,Either remove the $schema line or publish/point to a custom schema matching this shape,Fixed
D-018,CTL-002,CTL-002-T2,Fill does not track dragging without JS,Fill follows thumb as user drags,"--slider-fill is static unless JS updates it; only the volume slider has oninput JS, the brightness slider has a hardcoded 75%",Medium,Pure CSS cannot read range value into a custom property,"Document that fill requires JS, or ship a tiny oninput snippet",Fixed
D-019,CTL-003,CTL-003-T3,Auto-advance to next box on digit entry,Typing a digit moves focus to next box,"No JS present; with maxlength=1 focus does not advance, user must manually tab/click",Medium,OTP auto-advance is inherently JS; the file header admits pure-CSS not possible,"Ship optional JS for auto-advance, or document as visual-only",Waived
D-020,CTL-005,CTL-005-T1,Entry shape vs cited shadcn schema,"Entries conform to shadcn schema (type, files[], registryDependencies)","Entries use non-shadcn fields: file (string), deps, classes, markup, attributes; no type/files[]/registryDependencies",Medium,Custom registry format reusing shadcn $schema URL,Either point $schema at a custom schema or remap fields,Fixed
D-021,DAT-002,DAT-002-T2,Header nav buttons actually change month,Clicking prev/next navigates months,Nav buttons styled but have NO handler in showcase; file comment claims pure-CSS navigation but no mechanism exists,Medium,Calendar ships visual layer only; the No JS for navigation claim overstates,Remove the No JS for navigation claim or ship the documented month-switch markup,Fixed
