Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
BTN-001,"Button base, variants, sizes",As a developer I want a CSS-only button with variants and sizes so that I can build action triggers without JavaScript.,"`.btn` is an inline-flex element with primary bg/fg, 2.5rem height, focus-visible ring; variants override bg/color; sizes adjust height/padding/font.","btn-link sets height:auto and padding:0, breaking visual alignment in btn-group; btn-icon combined with btn-sm/btn-lg resizes to square; hover suppressed when disabled or aria-busy",BTN-001-T1:happy:PASS; BTN-001-T2:happy:PASS; BTN-001-T3:accessibility:PASS; BTN-001-T4:boundary:FAIL; BTN-001-T5:error:PASS,PASS (remediated),0,Low,"Rules: hover/active states gated by :not(:disabled,[aria-busy]) | focus ring uses --ring token || Deps: base/tokens (--primary,--secondary,--ring,--radius-*,--space-*) || Assumes: Author applies semantic <button> element",2026-06-22
BTN-002,Button loading spinner (pure CSS),As a developer I want a loading spinner with no JS so that aria-busy buttons show progress automatically.,`.btn[aria-busy=true]::after` injects a 1em rotating ring via shadcss-spin keyframes.,"Spinner appended after text content, not replacing it — both show; btn-link has padding:0 so spinner may crowd text",BTN-002-T1:happy:PASS; BTN-002-T2:accessibility:WAIVED; BTN-002-T3:performance:FAIL,PASS (remediated),0,Medium,Rules: spinner uses currentColor border with transparent right edge || Deps: base/tokens (--radius-full) | CSS @keyframes support || Assumes: Author sets aria-busy=true attribute manually,2026-06-22
BTN-003,Badge variants and dot,As a developer I want inline status badges with semantic color variants so that I can label content states.,`.badge` is inline-flex pill; variants set bg/fg from tokens; `.badge-dot::before` prepends a 0.375rem currentColor dot.,"badge-dot dot color follows currentColor, so on badge-outline the dot uses foreground; success/warning/info variants depend on non-shadcn tokens that must exist",BTN-003-T1:happy:PASS; BTN-003-T2:boundary:PASS; BTN-003-T3:accessibility:WAIVED; BTN-003-T4:invalid:PASS,PASS,0,None,Rules: dot uses currentColor and radius-full || Deps: base/tokens (--success/--warning/--info and -foreground) || Assumes: Badges are non-interactive spans,2026-06-22
BTN-004,Toggle two-state button,As a developer I want an aria-pressed toggle button so that I get accessible two-state controls with no JS for styling.,`.toggle` is a 2.5rem square button; [aria-pressed=true] applies accent bg/fg; sizes and outline variant defined.,.has-text widens to auto with horizontal padding; aria-pressed toggling itself requires JS — CSS only styles the state; outline variant changes border-color when pressed,BTN-004-T1:happy:PASS; BTN-004-T2:error:FAIL; BTN-004-T3:accessibility:FAIL; BTN-004-T4:boundary:PASS,PASS (remediated),0,Medium,"Rules: pressed state keyed on [aria-pressed=true] | svg children sized via direct child selector || Deps: base/tokens (--accent,--ring,--input) | JS or native to flip aria-pressed (not provided) || Assumes: Author uses <button> with aria-pressed and toggles it externally",2026-06-22
BTN-005,Toggle group (radio/checkbox backed),As a developer I want a single/multi-select toggle group built on native inputs so that selection state and form submission work without JS.,`.toggle-group` wraps hidden radio/checkbox inputs each followed by a `.toggle-group-item` label; :checked + .toggle-group-item highlights the selected label. Outline/size/vertical variants via data-attributes.,Adjacent-sibling selector requires input immediately before its label; outline first/last child only zero one side corners; middle items keep full radius; vertical orientation has no outline border-collapse handling,BTN-005-T1:happy:PASS; BTN-005-T2:accessibility:PASS; BTN-005-T3:invalid:FAIL; BTN-005-T4:boundary:FAIL; BTN-005-T5:responsive:PASS; BTN-005-T6:boundary:FAIL,PASS (remediated),0,Medium,"Rules: inputs visually hidden but focusable proxy via :focus-visible + label ring | checked highlight uses background+shadow || Deps: base/tokens (--muted,--background,--ring,--shadow-sm) | native radio/checkbox semantics || Assumes: Markup orders <input> then sibling <label class=toggle-group-item>",2026-06-22
BTN-006,Registry metadata conformance (button/badge/toggle/toggle-group),As a tooling consumer I want registry.json to validate against its declared schema so that automated installers can parse component metadata.,registry.json declares shadcn $schema but uses a custom shape: top-level components[] with keys name/file/deps/markup/classes — not shadcn registry item schema.,shadcn schema expects fields like type/files[].path/registryDependencies; this uses file/deps; schema URL implies validation that would fail,BTN-006-T1:happy:PASS; BTN-006-T2:invalid:FAIL; BTN-006-T3:happy:PASS,PASS (remediated),0,Medium,"Rules: Declared $schema = https://ui.shadcn.com/schema.json || Deps: shadcn schema (cited, not conformed) || Assumes: Consumers may attempt to validate against the cited schema",2026-06-22
FRM-001,"Text input base, states, sizes, file & icon variants","As a form author I want a styled single-line input with focus/hover/disabled/invalid states, size modifiers, file styling, and icon wrapping so that inputs match the design system with zero JS.",`.input` is a 2.5rem full-width bordered field with token-driven colors and a focus ring; disabled dims to 0.5; invalid border turns destructive only when a value is present; .input-sm/.input-lg adjust height/padding/font; file inputs get styled file-selector-button; .input-wrap positions an absolute icon and pads the input.,Input with no placeholder never matches :not(:placeholder-shown) so :invalid styling never applies; Trailing-only icon: input still gets 2.5rem leading padding; RTL handled via inset-inline / padding-inline logical props,FRM-001-T1:happy:PASS; FRM-001-T2:boundary:FAIL; FRM-001-T3:happy:PASS; FRM-001-T4:error:FAIL; FRM-001-T5:accessibility:PASS; FRM-001-T6:responsive:PASS,PASS (remediated),0,Medium,Rules: Invalid border requires both :invalid and a non-empty value via :placeholder-shown | Hover border only when not disabled and not focused || Deps: base/tokens | Browser support for ::file-selector-button and inset-inline-* logical props || Assumes: A placeholder attribute is present on inputs that want invalid styling | Icons are direct svg children of .input-wrap,2026-06-22
FRM-002,Textarea base and states,As a form author I want a multi-line textarea with the same visual language as inputs so forms are consistent.,"`.textarea` is a block 100%-width field, min-height 5rem, vertical resize, with hover/focus/disabled/invalid states mirroring .input.",Empty placeholder-less textarea never shows invalid border; resize:vertical only; No size modifiers provided unlike input,FRM-002-T1:happy:PASS; FRM-002-T2:boundary:FAIL; FRM-002-T3:happy:PASS; FRM-002-T4:accessibility:PASS,PASS (remediated),0,Low,"Rules: Invalid border requires :invalid AND a value via :placeholder-shown || Deps: base/tokens (--input,--ring,--destructive,--space-*) || Assumes: Authors add a placeholder when they want invalid styling",2026-06-22
FRM-003,"Label, required marker, and legacy form-field layout","As a form author I want labels that dim with disabled controls, show a required asterisk, and a simple stacked form-field helper.","`.label` is an inline-flex 500-weight clickable label; dims via :has(:disabled,[aria-disabled]); .label-required::after adds a destructive asterisk; .form-field stacks children with gap and turns help-text destructive when a contained control is invalid-with-value.",:has() unsupported browsers lose disabled-dim and invalid help-text; help-text destructive again gated on :placeholder-shown; cursor:pointer on label even when not associated with a control,FRM-003-T1:happy:PASS; FRM-003-T2:happy:PASS; FRM-003-T3:boundary:FAIL; FRM-003-T4:accessibility:PASS; FRM-003-T5:invalid:WAIVED,PASS (remediated),0,Low,Rules: Disabled dim requires a descendant :disabled or aria-disabled | Help-text error requires :invalid:not(:placeholder-shown) descendant || Deps: base/tokens | CSS :has() selector support || Assumes: Label wraps or is sibling-grouped with its control inside .form-field,2026-06-22
FRM-004,High-level field wrapper with grid areas and :has() validation,"As a form author I want a field that lays out label/control/description/error in a grid and reveals the error when the control is invalid, with required asterisk via data-required.","`.field` is a grid with label/control/description/error areas; asterisk shown only when [data-required=true]; .field-error hidden by default and shown via :has(:invalid:not(:placeholder-shown)) or :has(select:invalid), hiding description and applying destructive borders.",Required field without placeholder: error never shows for text inputs; Comment claims :user-invalid lacks browser support — now widely supported; Multiple invalid controls in one field all trigger via :has; Errors show before blur (no :user-invalid debounce),FRM-004-T1:happy:PASS; FRM-004-T2:boundary:FAIL; FRM-004-T3:happy:PASS; FRM-004-T4:error:FAIL; FRM-004-T5:accessibility:FAIL; FRM-004-T6:performance:PASS,PASS (remediated),0,Medium,Rules: Text/textarea error reveal requires :invalid AND non-empty | Select error reveal requires only select:invalid || Deps: base/tokens | label component | CSS :has() | input/textarea/select components || Assumes: Inputs carry a placeholder so :placeholder-shown can detect empty state | field-error markup is always present as a .field child,2026-06-22
