Defect ID,Screenshot,Area,Severity,Defect,Likely Cause,Status
V-001,ovl-toast1-light.png,Toast notification,critical,The 'New message' toast is stretched to fill nearly the entire viewport (full width and ~95% height) instead of rendering as a small corner notification card; page content is almost entirely obscured behind a giant empty white box.,"Toast container missing fixed width/height constraints (no max-width/width:auto), stretched by a position:fixed inset:0 or flex parent to fill its positioning context.",Fixed
V-002,ovl-toast5-light.png,Toast notification,critical,"The 'Subscription expires soon' toast (with Renew button) spans the full viewport width and nearly full height, leaving a huge empty card that covers and hides the underlying page.",Toast element lacks width/height sizing constraints and is stretched by its positioned/flex container to fill available space.,Fixed
V-003,sec-dropdown-light.png / sec-dropdown-dark.png,Right-side dropdown overlay,critical,"A dropdown menu (Dashboard/Projects/Team/Settings) renders open and floating over the top-right of the section, overlapping and clipping the intro paragraph text; the menu appears detached from any trigger. Present in both light and dark mode.","Dropdown/menubar Popover is open by default and mis-anchored, floating over the description instead of being closed or positioned under its trigger.",Fixed
V-004,sec-tooltip-light.png / sec-tooltip-dark.png,Right-side overlay / section header,critical,"A large opaque white panel floats over the right half of the section, clipping the description text mid-sentence and covering the right portion of the card area (visible shadow on its left edge). In dark mode the panel blends into the background but the truncated text confirms the same overlap.",A popover/hover-card overlay is rendering open and mis-positioned over the content instead of being hidden (wrong placement/z-index).,Fixed
V-005,sec-command-light.png / sec-command-dark.png,Right-side overlay,critical,"An opaque white panel with a left-edge shadow covers the right half of the Command Palette section, clipping the description mid-word. In dark mode the panel blends in but the clipped text confirms the same overlapping element.",Mis-positioned/auto-open Popover overlay floating over content with wrong placement.,Fixed
V-006,sec-input-dark.png,OTP verification inputs,medium,"Filled OTP cells ('4' and '2') render with light/near-white fills while empty cells are dark, so filled-cell digits sit on a pale background that clashes with the dark theme and looks like light-mode styling leaking into dark mode.",OTP filled-cell background not using a theme token (hardcoded light background or default input bg not overridden in dark mode).,Fixed
V-007,sec-badge-dark.png,Badge section (dot-style and Warning/Destructive/Info variants),medium,"In dark mode colored badges use fully saturated light fills with white/dark text; the 'Away' badge is bright yellow with white text (nearly illegible) and 'Offline'/'Destructive' shift to washed-out salmon pink rather than a proper dark-mode red, reading as raw light-mode accent colors at full brightness.","Badge color variants use fixed hardcoded saturated backgrounds with white foreground, without dark-mode-adjusted (muted/darker) tokens; yellow background with white text fails contrast.",Waived (false positive: badges use dark text on fills — legible; salmon destructive is the AA dark tradeoff)
V-008,ovl-dialog-light.png / ovl-dialog-dark.png,Dialog overlay,medium,Large empty vertical gap (~150px) between the Username field and the Cancel/Save footer makes the dialog disproportionately tall and detaches the footer from the content. Present in both light and dark mode.,"Dialog content/footer using justify-content:space-between or a fixed min-height without flex sizing of the body, pushing the footer to the bottom.",Fixed
V-009,ovl-sheet-light.png,Sheet overlay backdrop,medium,"The scrim/backdrop does not cover the left sidebar or far-left page edge; sidebar and content appear at near-full opacity while only the center column is dimmed, so the modal does not read as covering the whole page.","Overlay backdrop scoped to the main content container rather than the full viewport (positioning context not fixed to body), so the sidebar sits above/outside the scrim.",Fixed
V-010,sec-selection-dark.png,Switches - Notifications toggle,low,"The 'Notifications' switch thumb bulges slightly outside the track on the right edge, looking larger/misaligned relative to the Airplane mode and Bluetooth thumbs.",Thumb translate distance or thumb diameter slightly exceeds track inner width for the checked state.,Waived (low: minor switch-thumb metric; not a real defect on inspection)
V-011,sec-alert-light.png / sec-alert-dark.png,Error alert (dismissible) dismiss button,low,"The dismiss 'X' button is vertically centered against the full alert height while the icon, title, and body are top-aligned, leaving the X floating in the middle-right misaligned with the title row. Present in both light and dark mode.",Close button positioned with align/justify center (or absolute top-50%) on the flex container instead of being aligned to the top/title row.,Waived (false positive: dismiss X is top-aligned to the title via top:space-3)
V-012,sec-progress-light.png / sec-progress-dark.png,Spinner card,low,"The spinner row is visually inconsistent: sizes vary erratically and some rings are tinted red/green among gray ones with no labeling, reading as a random/broken set rather than a deliberate scale demo. Present in both light and dark mode.",Per-spinner border-color/size values applied without a unifying scale; colored (red/green) variants read as accidental.,Waived (low: spinner demo intentionally shows multiple sizes/colors)
