Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
BTN2-001,"Button (.btn) variants, sizes, loading, group","As a consumer I drop a btn button and get shadcn-styled buttons with variants, sizes, loading and grouped modes, zero JS.","Six variants, four sizes, aria-busy spinner with reduced-motion guard, btn-link scoped out of groups, group border collapsing.",btn-link inside btn-group | aria-busy + disabled | vertical group corners | reduced-motion,BTN2-001-T1:regression:PASS; BTN2-001-T2:regression:PASS; BTN2-001-T3:accessibility:PASS; BTN2-001-T4:boundary:WAIVED,PASS,0,,,2026-06-22
BTN2-002,Badge (.badge) variants + dot,As a consumer I render status badges with semantic color variants and an optional leading dot.,"Inline-flex pill, 7 color variants + outline, badge-dot ::before bullet using currentColor.",badge-outline + badge-dot | long text nowrap fixed height | status tokens defined,BTN2-002-T1:happy:PASS; BTN2-002-T2:boundary:PASS; BTN2-002-T3:accessibility:PASS,PASS,0,,,2026-06-22
BTN2-003,Toggle (.toggle) aria-pressed two-state button,As a consumer I use a .toggle button whose pressed visual is driven by aria-pressed.,Styles [aria-pressed=true]; requires one-line JS to flip; disabled styling present.,disabled toggle | JS requirement honesty,BTN2-003-T1:regression:PASS; BTN2-003-T2:regression:PASS; BTN2-003-T3:accessibility:PASS,PASS,0,,,2026-06-22
BTN2-004,Toggle-group (.toggle-group) radio/checkbox driven,As a consumer I get a zero-JS segmented control where native radios or checkboxes drive checked styling.,Hidden inputs + adjacent label highlight on :checked; outline border-collapsing; vertical orientation; sizes.,outline + vertical | input-then-label order required | focus-visible ring via input:focus-visible,BTN2-004-T1:error:FAIL; BTN2-004-T2:boundary:FAIL; BTN2-004-T3:boundary:FAIL; BTN2-004-T4:accessibility:PASS; BTN2-004-T5:happy:PASS,PASS (remediated),0,Low,,2026-06-22
BTN2-005,Build / dist-copy / gitignore / tarball / exports,"As a publisher I build a deterministic CSS bundle, copy it into the showcase, gitignore the copy, and ship dist+src via npm.","build.mjs bundles+minifies, copies min into apps/www, dist tracked, www copy ignored; exports resolve; counts/size consistent.",rebuild determinism | tarball file count vs 52 components | exports targets exist,BTN2-005-T1:regression:PASS; BTN2-005-T2:regression:PASS; BTN2-005-T3:happy:PASS; BTN2-005-T4:boundary:PASS; BTN2-005-T5:regression:PASS; BTN2-005-T6:regression:PASS,PASS,0,,,2026-06-22
FRM2-001,Input invalid-state styling (:user-invalid fix),As a user filling a required field I see destructive styling once I leave an invalid empty field.,Empty placeholder-less required input shows destructive border after interaction via :user-invalid.,empty required no placeholder | pristine no :user-invalid | disabled invalid,FRM2-001-T1:regression:PASS; FRM2-001-T2:boundary:PASS,PASS,0,,,2026-06-22
FRM2-002,Input leading/trailing icon padding,As a developer I place a leading or trailing icon in .input-wrap and the input pads only the correct edge.,Leading icon -> start padding; trailing-only -> end padding via .input-trailing.,trailing-only svg without .icon-trailing | svg with .icon-trailing,FRM2-002-T1:regression:PASS; FRM2-002-T2:invalid:FAIL; FRM2-002-T3:happy:PASS,PASS (remediated),0,Low,,2026-06-22
FRM2-003,Textarea styling and validation,As a user I get a multi-line input with hover/focus/invalid states and a char limit demo.,Textarea reflects invalid via :user-invalid; disabled suppresses affordances; maxlength enforced in demo.,disabled textarea hover | empty placeholder-less required | maxlength boundary,FRM2-003-T1:regression:PASS; FRM2-003-T2:regression:PASS; FRM2-003-T3:boundary:FAIL; FRM2-003-T4:invalid:FAIL,PASS (remediated),0,Low,,2026-06-22
FRM2-004,Label and form-field helper,As a developer I label controls and get required markers and invalid help-text coloring.,Label dims when wrapping disabled control; required asterisk; help-text reddens on invalid via :user-invalid.,empty placeholder-less required | disabled wrapped control,FRM2-004-T1:regression:PASS; FRM2-004-T2:accessibility:PASS,PASS,0,,,2026-06-22
FRM2-005,Field wrapper (error/description toggle),As a user I see a description normally and an error message swapped in when the field becomes invalid.,"Valid -> description; invalid (:user-invalid) -> error flex, description hidden, control border destructive.",pristine required on load | select invalid | placeholder-less required,FRM2-005-T1:regression:PASS; FRM2-005-T2:boundary:PASS; FRM2-005-T3:invalid:FAIL; FRM2-005-T4:regression:PASS,PASS (remediated),0,Low,,2026-06-22
FRM2-006,Cascade layer priming and build,As a consumer I get correct cascade precedence and a working dist bundle regardless of import reordering.,@layer priming matches layers used; build emits dist + copies into www; copy gitignored.,bundler reorders imports | tokens unlayered,FRM2-006-T1:regression:PASS; FRM2-006-T2:regression:PASS; FRM2-006-T3:performance:PASS,PASS,0,,,2026-06-22
FRM2-007,Published npm package + CDN resolution,As a consumer I install @russfranky/shadcss or load from CDN and the form CSS resolves.,Tarball ships dist + src; exports resolve; unpkg/jsdelivr serve the bundle.,scoped install path | ./unminified and ./src subpath exports,FRM2-007-T1:happy:PASS; FRM2-007-T2:happy:PASS; FRM2-007-T3:boundary:PASS,PASS,0,,,2026-06-22
FRM2-008,Waiver re-validation (CSS-only limits touching forms),As QA I confirm previously-waived CSS-only limits are still genuine platform limits.,"Re-examine D-069 (inline-handler CSP), D-138 (:has() fallback) for new CSS fixes.",,FRM2-008-T1:security:WAIVED; FRM2-008-T2:boundary:WAIVED,PASS,0,,,2026-06-22
SEL2-001,Native select restyle,As a developer I drop class=select on a native <select> and get a shadcn-styled control with CSS chevron.,"Styles the box, chevron via inline SVG, focus ring, disabled/hover, sm/lg sizes; tokens resolve.",Long option text | open dropdown unstyleable | RTL chevron | focus mouse vs keyboard,SEL2-001-T1:happy:PASS; SEL2-001-T2:accessibility:FAIL; SEL2-001-T3:boundary:WAIVED,PASS (remediated),0,Low,,2026-06-22
SEL2-002,Checkbox indeterminate (D-066 fix),As a developer I style a native checkbox incl. an indeterminate visual; told the IDL property still needs JS.,data-indeterminate paints a mixed bar; header + registry document JS requirement.,AT announces unchecked when only attribute set | checked + data-indeterminate | clip-path checkmark,SEL2-002-T1:regression:PASS; SEL2-002-T2:regression:PASS; SEL2-002-T3:accessibility:WAIVED; SEL2-002-T4:happy:PASS,PASS,0,,,2026-06-22
SEL2-003,Radio + radio-group dedup (D-067/068/137 fixes),As a developer the .radio-group class is owned by exactly one file with one consistent orientation contract.,radio.css no longer defines .radio-group; radio-group.css sole owner; registry radio no longer claims radio-group.,concatenated dist order | data-orientation | data-variant inline | bare native radios lacking .radio,SEL2-003-T1:regression:PASS; SEL2-003-T2:regression:PASS; SEL2-003-T3:regression:PASS; SEL2-003-T4:invalid:PASS; SEL2-003-T5:accessibility:FAIL; SEL2-003-T6:regression:WAIVED,PASS (remediated),0,Low,,2026-06-22
