Defect ID,Feature ID,Test ID,Kind,Scenario,Expected,Actual,Severity,Root Cause,Proposed Fix,Status
D2-001,OVL2-001,OVL2-001-T1,incorrect-fix,D-060/D-127 anchor positioning but no anchor-name wired,Trigger has anchor-name and popover position-anchor,no markup sets anchor-name/position-anchor; @supports block sets anchor() with no reference and overrides the working fallback; panel loses anchoring on the browsers the fix targets,High,"On anchor-supporting browsers the @supports block sets anchor() with no anchor reference, becomes auto, overriding the working left:0 fallback","Add position-anchor to .popover/.dropdown-menu and anchor-name to the popovertarget, OR guard @supports to only apply when position-anchor set; keep inset fallback",Fixed
D2-002,MNU2-001,MNU2-001-T1,regression,navigation-menu.css forbids popover; showcase/registry comply?,No popover attribute on .navigation-menu-content,"index.html:1356,1413 and registry set popover on .navigation-menu-content, contradicting css:8-10 and D-002 Fixed verdict",High,CSS-side fix applied to comment but showcase and registry markup never updated; original top-layer-vs-absolute bug is live,Remove popover from .navigation-menu-content in index.html and registry; drive open via :focus-within/:has or JS data-open,Fixed
D2-003,MNU2-001,MNU2-001-T2,regression,"With popover present, position:absolute resolves against trigger?",Panel under trigger,"in top layer the abs offset resolves against ICB not the item, so panel detaches",High,Same top-layer conflict as D-002,Same as MNU2-001-T1,Fixed
D2-004,MNU2-002,MNU2-002-T1,incorrect-fix,D-043 anchor() rules added; verify a real anchor source,Trigger sets anchor-name so anchor() resolves,"no element sets anchor-name/position-anchor; popovertarget does not create implicit anchor; @supports matches, wipes fallback inset, anchor() has no target; worse than pre-fix fallback",High,Fix added anchor() consumers but never the anchor producer; relied on implicit popovertarget anchor that does not exist,"Add anchor-name on trigger + position-anchor on menu, OR guard @supports and keep [data-side] inset fallback",Fixed
D2-005,NAV2-001,NAV2-001-T1,incorrect-fix,aria-selected correctness after switching tabs,aria-selected tracks checked radio,aria-selected is static literal; clicking tab 2 leaves aria-selected true on tab 1; CSS cannot mutate attribute; AT reports wrong tab,High,D-075 fix bolted ARIA onto static markup while selection lives on the hidden radio; no JS sync,"Drop aria-selected and rely on radios, or document a one-line JS sync; honest CSS-only model is a radiogroup",Fixed
D2-006,MSC2-003,MSC2-003-T1,incorrect-fix,D-003 handle focusable/announced,registry markup includes tabindex/role/aria,registry markup is bare div.resizable-handle — NO tabindex/role/aria; CSS focus style dead; not in index.html,High,Remediation updated tracking sheet but not the registry markup string,Set handle markup to include tabindex=0 role=separator aria-orientation aria-valuenow,Fixed
D2-007,MSC2-003,MSC2-003-T2,regression,Handle occupies equal 1fr grid column not thin divider,4px-wide handle track between panels,grid-auto-columns:1fr gives handle its own 1fr track equal to panels; width:4px only sizes inner element; wide empty column; flex-shrink inert in grid,High,Grid auto-columns:1fr applied uniformly; handle never given a fixed track,"Switch to flex (panels flex:1, handle flex:0 0 4px), or assign handles a max-content grid track",Fixed
D2-008,SHO2-001,SHO2-001-T1,incorrect-fix,"role=tab on label, aria-selected hardcoded; CSS switching does not update it",aria-selected reflects currently-checked tab,aria-selected is static text and never changes because selection is the hidden radio :checked; SR announces wrong tab after switch,High,Remediation added role=tab/aria-selected to labels but live state lives on the hidden radio; no JS sync,"Put role=tab+aria-selected on a focusable element tied to :checked, or drop role=tab/aria-selected and let native radios carry semantics",Fixed
D2-009,SHO2-002,SHO2-002-T1,regression,@supports block but NO anchor-name on any trigger and NO position-anchor anywhere,Panel anchored under trigger in anchor-capable browsers,zero anchor-name/position-anchor in index.html and src; inside @supports inset reset to auto and anchor() has no resolvable anchor; in Chrome 125+ the menu loses fallback inset and positions at default top-layer placement; regresses D-002,High,Fix relies on implicit anchor from popovertarget which is not the wiring used and is not reliably shipped; @supports strips the working fallback,"Wire anchor-name on triggers + position-anchor on panels, or keep inset fallback inside @supports",Fixed
D2-010,DIS2-002,DIS2-002-T3,incorrect-fix,D-027 touch popover fallback CSS exists but showcase lacks popover,Demo openable on touch via tap,CSS adds popover:popover-open rule but panel has NO popover attribute and no popovertarget; never opens on touch,Medium,CSS hook added but markup/registry not updated to use it,Add popover attribute to .hover-card-panel and popovertarget on the trigger in showcase + registry,Waived
D2-011,DIS2-003,DIS2-003-T1,incorrect-fix,Animation claim cites interpolate-size never declared; native details hides closed content,Smooth open/close height animation,interpolate-size never declared (only in comment); native details hides closed children so grid 0fr->1fr has no box to animate; content pops not animates,Medium,Grid-rows animation incompatible with native details content hiding without ::details-content override,"Add interpolate-size:allow-keywords and animate ::details-content with allow-discrete, or document instant open",Fixed
D2-012,NAV2-001,NAV2-001-T2,incorrect-fix,role=tablist/tab placement vs focusable element,tablist contains focusable tabs; no conflicting roles,role=tab on label (not focusable; focus on radio); radios keep role=radio inside role=tablist — conflicting roving model,Medium,D-075 added tab roles to labels without making them focus/selection target,Keep native radiogroup semantics or move focus+roles onto one element set; do not mix radio and tab roles,Fixed
D2-013,NAV2-004,NAV2-004-T1,waiver-revalidated,D-074 mobile sidebar reachability,CSS-only mechanism can reveal mobile nav,still gated on data-mobile-open requiring JS; showcase display:none's sidebar on mobile so no nav at all; CSS-only reveal feasible now,Medium,Toggle modeled as a data attribute instead of a CSS-addressable state,Add a CSS-only variant: hidden checkbox + label hamburger using :has or :target,Fixed
D2-014,DAT2-002,DAT2-002-T2,incorrect-fix,D-022 role=grid but no role=row and gridcell only on 2 of 33 cells,valid grid: grid>row>gridcell/columnheader,grid has NO role=row wrappers; only today/selected get role=gridcell; ~40 day buttons role-less; invalid ARIA grid,Medium,Remediation added role=grid + a couple gridcell roles without the row layer or per-cell roles,Drop role=grid OR wrap each week in role=row and give every .calendar-day role=gridcell,Fixed
D2-015,DAT2-003,DAT2-003-T2,incorrect-fix,carousel dots use role=tablist with non-tab children,tablist children must be role=tab,carousel-dots role=tablist but child buttons have aria-current and NO role=tab/aria-selected; invalid ARIA composite,Medium,Remediation added role=tablist on dots container without role=tab on children,Drop role=tablist (plain group) OR add role=tab + aria-selected to each dot,Fixed
D2-016,DST2-001,DST2-001-T2,regression,Fresh clone (no build) opens showcase,Showcase styled or build instructions surfaced,copy gitignored AND not tracked; apps/www build script is a no-op echo; clone+open yields unstyled page; index links ./shadcss.min.css which does not exist until root build runs,Medium,Generated copy is correctly gitignored but no build runs on showcase startup and README never states the showcase depends on running build first,"Make apps/www dev/build run npm run build -w packages/shadcss first, or document run build before opening showcase",Fixed
D2-017,SHO2-001,SHO2-001-T2,incorrect-fix,tabpanel no aria-labelledby and tabs no aria-controls,each tabpanel references its tab and vice-versa,"No aria-controls on tabs, no aria-labelledby on panels; association missing",Medium,Roles added without the required relationship attributes,Add aria-controls on each tab label and aria-labelledby on each panel,Fixed
D2-018,SHO2-004,SHO2-004-T1,incorrect-fix,carousel-dots role=tablist but children lack role=tab,tablist contains role=tab children,role=tablist with non-tab button children is owned-role mismatch; aria-current=true on a dot is wrong pattern,Medium,Remediation slapped role=tablist on the dots container without role=tab on children,"Add role=tab + aria-selected to each dot, or drop role=tablist and use a plain group with aria-label",Fixed
D2-019,SHO2-005,SHO2-005-T1,incorrect-fix,"role=grid contains columnheaders/buttons directly, no role=row; gridcell on 2 of 35",every day cell is a gridcell within a row,No role=row anywhere; gridcell only on today/selected leaving 33 plain buttons; malformed grid pattern,Medium,Partial ARIA remediation added roles only to special-state cells,"Add role=row wrappers, give every .calendar-day role=gridcell, use aria-selected for the chosen day",Fixed
D2-020,REG2-002,REG2-002-T1,incorrect-fix,role=tablist contains focusable radios without tab role,tablist contains only role=tab elements,puts radio inputs directly inside div.tabs-list role=tablist alongside the role=tab label; tablist containing a non-tab focusable radio is an ARIA violation,Medium,CSS pattern requires the radio as sibling of label; ARIA role layered on without hiding the radios,Visually-hide radios out of a11y tree; or document role=tab/tablist as decorative and rely on native radio semantics,Fixed
D2-021,REG2-003,REG2-003-T1,incorrect-fix,@supports uses anchor() without setting position-anchor,menu anchors to trigger when supported,"sets top:anchor(bottom)/inset-inline-start:anchor(start) but never sets position-anchor; popovertarget does NOT establish an implicit anchor; anchor() is invalid-at-computed-value and ignored, leaving inset:auto and collapsing positioning; comment admits author must set it",Medium,Assumed popovertarget creates an implicit anchor; it does not,"Emit anchor-name on trigger + position-anchor on .dropdown-menu, or document exact author attributes; otherwise @supports branch is worse than fallback",Fixed
D2-022,REG2-006,REG2-006-T4,incorrect-fix,package.json description still claims absolutist 'zero JavaScript',description consistent with de-frauded framing,package.json:4 says 'zero JavaScript' while READMEs softened; npm-published description retains absolutist claim contradicted by dialog/popover triggers,Medium,de-fraud pass edited markdown but missed package.json description and registry.json:5,"Change description to 'shadcn's beauty, no JS framework' in package.json:4 and registry.json:5",Fixed
D2-023,BTN2-004,BTN2-004-T1,incorrect-fix,D-016 strict sibling order documented,registry/header notes input must immediately precede its label,registry markup models order but no explicit 'order is mandatory' note; comment only says 'we style the label',Low,Fix added correct markup example but omitted the explicit mandatory-order documentation,Add a NOTE in registry toggle-group entry and header comment that each input must be the immediately-preceding sibling of its label,Fixed
