"Component","Current","Gap","Type","shadcn Ref","Impact","Confidence","Proposed CSS"
"dropdown.css",".dropdown-item has :hover/:focus-visible, plus .dropdown-destructive, .dropdown-label, .dropdown-separator, .dropdown-shortcut, .dropdown-checkbox-item/.dropdown-radio-item with ::before indicators. No rule references [disabled] or [data-disabled] anywhere in the file.","No disabled-item styling. shadcn DropdownMenuItem renders data-disabled with reduced opacity and pointer-events:none; shadcss items stay fully interactive/opaque when disabled.","state","DropdownMenuItem data-disabled (opacity-50, pointer-events-none)","high","high","@layer components { .dropdown-item:disabled, .dropdown-item[aria-disabled=""true""], .dropdown-item[data-disabled] { pointer-events: none; opacity: 0.5; } }"
"accordion","The summary has a :hover background and a transition, but there is NO :focus-visible rule anywhere in accordion.css. Keyboard users get only the UA default focus ring, not the shadcn ring token.","Accordion trigger (summary) has no visible keyboard focus ring. shadcn's AccordionTrigger applies a focus-visible ring. The sibling collapsible component DOES define .collapsible-trigger:focus-visible, so accordion is inconsistent and below parity.","a11y","AccordionTrigger: focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px]","medium","high",".accordion > details > summary:focus-visible {;   outline: 2px solid hsl(var(--ring));;   outline-offset: -2px;; }"
"alert-dialog.css",".alert-dialog-footer is display:flex; gap; padding; with optional [data-justify=""center""|""between""]. Default is a left-aligned single flex row, no mobile stacking and no default right-alignment.","shadcn's AlertDialogFooter defaults to a responsive layout: buttons stack vertically (reversed) on small screens and switch to a right-aligned horizontal row on sm+ breakpoints. shadcss's footer is a plain left-aligned row.","part","AlertDialogFooter (flex flex-col-reverse gap-2 sm:flex-row sm:justify-end)","medium","high",".alert-dialog-footer {;   flex-direction: column-reverse;;   justify-content: flex-end;; }; @media (min-width: 640px) {;   .alert-dialog-footer { flex-direction: row; }; }"
"badge.css",".badge styles layout/colors and .badge-dot adds a ::before dot. No rule targets child svg; no focus/link state.","shadcn's badge auto-sizes inline SVG icons (size-3) and sets pointer-events:none so leading icons render at a consistent small size. shadcss badge leaves svg at intrinsic size.","part","[&>svg]:size-3 [&>svg]:pointer-events-none","medium","high",".badge > svg { width: 0.75rem; height: 0.75rem; flex-shrink: 0; pointer-events: none; }"
"button.css",".btn sets icon support via gap and .btn-icon sizing, but has NO rule targeting child svg — no width/height or pointer-events on icons.","shadcn's button auto-sizes inline SVG icons (size-4) and sets pointer-events:none / shrink-0 so icons render consistently. shadcss buttons leave svg at intrinsic size.","part","[&_svg:not([class*='size-'])]:size-4 [&_svg]:pointer-events-none [&_svg]:shrink-0","medium","high",".btn > svg { width: 1rem; height: 1rem; flex-shrink: 0; pointer-events: none; }"
"calendar.css","Range styling via [data-range=""start|end|middle""] only sets border-radius and accent fill (middle). The solid primary endpoint fill is only applied via [aria-pressed=""true""].","Range endpoints (start/end) do not themselves carry the primary fill; shadcn's range_start/range_end days are filled with the primary color as the visual anchors without depending on a separate selected attribute.","part","day_range_start / day_range_end (bg-primary text-primary-foreground)","low","medium",".calendar-day[data-range=""start""], .calendar-day[data-range=""end""] { background: hsl(var(--primary)); color: hsl(var(--primary-foreground)); }"
"carousel.css",".carousel-viewport uses scroll-snap-type: x mandatory and .carousel-track is display:flex (row). No vertical orientation support anywhere in the file.","No vertical orientation. shadcn carousel supports orientation=""vertical"", scrolling top-to-bottom with stacked items and up/down arrows.","variant","<Carousel orientation=""vertical""> (data-orientation / opts.axis)","medium","high",".carousel[data-orientation=""vertical""] .carousel-viewport { overflow-x: hidden; overflow-y: auto; scroll-snap-type: y mandatory; }; .carousel[data-orientation=""vertical""] .carousel-track { flex-direction: column; }; .carousel[data-orientation=""vertical""] .carousel-item { width: 100%; height: auto; scroll-snap-align: start; }; .carousel[data-orientation=""vertical""] .carousel-controls { flex-direction: column; }"
"checkbox.css","Has .checkbox (native restyled), CSS-only checkmark, [data-indeterminate] mixed mark, plus :checked, :hover, :focus-visible, :disabled. No invalid/error state styling.","No aria-invalid (error) state. shadcn's Checkbox applies a destructive border (and destructive ring on focus) when aria-invalid is set. shadcss applies a destructive treatment on .input but not on .checkbox.","state","aria-invalid:border-destructive aria-invalid:ring-destructive/20 on Checkbox","medium","high",".checkbox[aria-invalid=""true""] { border-color: hsl(var(--destructive)); }; .checkbox[aria-invalid=""true""]:focus-visible { outline-color: hsl(var(--destructive)); }"
"command.css",".command-item has :hover and [data-selected=""true""] styling, plus svg color states. There is no disabled rule for .command-item.","No disabled command-item state. shadcn's CommandItem renders data-disabled and applies pointer-events-none + opacity-50 so unavailable commands are visibly inert.","state","CommandItem data-[disabled=true]:pointer-events-none data-[disabled=true]:opacity-50","medium","high",".command-item[data-disabled=""true""], .command-item:disabled { pointer-events: none; opacity: 0.5; }"
"context-menu.css","Provides .context-menu-item-check and .context-menu-item-arrow plus inherited dropdown-item styles, but no .context-menu-sub-content surface and no disabled styling.","Has a submenu arrow indicator but no sub-content panel class to style the nested menu surface; and no disabled-item state. shadcn ContextMenu provides SubContent and data-disabled styling.","part","ContextMenuSubContent / ContextMenuItem data-disabled","medium","medium","@layer components { .context-menu-sub { min-width: 8rem; padding: var(--space-1); background: hsl(var(--popover)); color: hsl(var(--popover-foreground)); border: 1px solid hsl(var(--border)); border-radius: var(--radius-md); box-shadow: var(--shadow-md); } .context-menu .dropdown-item:disabled, .context-menu .dropdown-item[aria-disabled=""true""] { pointer-events: none; opacity: 0.5; } }"
